897
0	40	179	0	0	100000
1	56	105	11	321	2554
2	89	60	8	257	1759
3	118	186	20	1016	5192
4	43	75	24	5725	8828
5	86	38	12	4567	8564
6	149	119	13	7850	12929
7	146	93	14	2236	5813
8	22	109	8	3402	5904
9	52	121	16	694	1894
10	99	120	24	2655	4732
11	194	38	19	3560	6572
12	37	198	3	10361	14908
13	145	104	4	2021	3967
14	16	84	3	2228	5087
15	90	95	19	8659	13730
16	88	75	22	751	2642
17	120	154	3	182	4720
18	142	98	13	11209	14535
19	31	62	19	8208	10352
20	135	8	8	8676	11640
21	173	32	11	1774	6748
22	154	165	15	554	3837
23	173	93	15	83	3435
24	67	66	22	88	1627
25	45	169	13	4325	7259
26	125	78	22	661	4498
27	89	167	16	4261	8514
28	21	48	6	8266	10694
29	51	100	15	1750	4263
30	15	63	22	5426	8673
31	140	15	24	2194	5862
32	168	16	14	3717	8348
33	167	23	23	11711	14418
34	130	93	12	249	1513
35	9	11	8	6381	10294
36	75	195	7	5745	9219
37	80	1	14	5441	8716
38	67	54	10	5657	9605
39	105	11	4	562	3167
40	186	191	20	7950	11110
41	42	199	20	429	2583
42	41	167	24	2728	7895
43	166	43	16	353	3373
44	174	73	14	1664	4102
45	61	48	6	4487	6989
46	44	156	22	1828	6798
47	152	162	11	10715	12576
48	177	15	11	5404	8422
49	165	121	13	7872	11000
50	57	57	5	815	4177
51	192	176	26	7064	10616
52	140	71	24	5267	9927
53	173	95	10	10952	15157
54	85	64	24	110	3720
55	129	197	3	5797	9399
56	136	100	15	6346	9578
57	105	3	19	9485	13382
58	171	138	25	45	3530
59	34	38	4	989	5157
60	55	47	5	530	4448
61	108	178	21	5552	7377
62	157	25	19	11131	15986
63	188	136	14	2398	5194
64	25	116	7	122	2756
65	156	83	18	1835	3517
66	109	5	19	8260	12507
67	139	16	25	5165	8717
68	100	90	7	1302	5900
69	130	187	25	1000	3135
70	86	75	27	5474	8771
71	68	106	14	7626	10245
72	86	120	22	3170	6604
73	105	86	24	2541	7100
74	98	114	4	7004	10753
75	30	117	16	5029	6714
76	147	11	8	260	2800
77	103	191	20	7873	11526
78	48	193	24	3100	7738
79	141	96	24	632	3318
80	123	1	24	7705	11921
81	124	193	14	1748	4337
82	110	154	22	5238	8132
83	108	131	8	5995	9383
84	173	192	26	7257	9946
85	137	102	9	274	3531
86	112	6	19	1728	4654
87	98	167	17	293	2726
88	57	36	13	9211	13082
89	183	56	17	2469	4401
90	199	199	14	10812	12909
91	173	161	3	1269	5327
92	138	32	19	38	3999
93	179	114	21	739	3842
94	39	32	10	12680	16103
95	109	84	14	910	2795
96	133	176	18	6328	9592
97	181	145	25	1920	3679
98	41	102	18	4686	7643
99	86	136	16	4714	6878
100	42	18	3	74	2111
101	70	74	19	1999	5680
102	28	52	13	3860	7714
103	110	92	20	421	3716
104	129	94	14	525	3575
105	61	44	26	7845	12455
106	171	29	8	10920	14230
107	82	104	5	3034	7381
108	193	157	6	3991	7596
109	6	36	14	33	2260
110	140	156	3	5256	6818
111	68	79	27	2218	4737
112	190	173	22	7847	10097
113	33	139	27	362	3237
114	90	32	17	7958	10974
115	103	17	4	1485	5199
116	0	10	18	5888	9234
117	10	43	4	3737	6520
118	56	64	15	1946	5925
119	26	200	19	357	2962
120	135	182	23	7720	10759
121	198	151	10	6694	10166
122	145	26	27	101	5336
123	160	15	9	1099	3107
124	50	90	12	2549	7201
125	2	107	27	216	2712
126	113	189	3	6303	8208
127	28	98	26	465	2745
128	196	8	26	3245	6691
129	154	177	23	5326	8193
130	108	77	24	1449	4099
131	68	129	-11	3530	6107
132	1	64	-8	3273	7760
133	175	30	-20	3428	6420
134	87	108	-24	10783	15073
135	200	12	-12	8830	11800
